Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
-1,r4858666-n911952,0,1510,1611619689,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1520,1611619699,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1530,1611619709,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1540,1611619719,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1550,1611619729,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1560,1611619739,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1570,1611619749,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1580,1611619759,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1590,1611619769,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1600,1611619779,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1610,1611619789,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1620,1611619799,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1630,1611619809,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1640,1611619819,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1650,1611619829,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1660,1611619839,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1670,1611619849,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1680,1611619859,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1690,1611619869,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1700,1611619879,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1710,1611619889,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1720,1611619899,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1730,1611619909,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1740,1611619919,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1750,1611619929,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1760,1611619939,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1770,1611619949,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1780,1611619959,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1790,1611619969,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1800,1611619979,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1810,1611619989,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1820,1611619999,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1830,1611620009,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1840,1611620019,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1850,1611620029,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1860,1611620039,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1870,1611620049,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1880,1611620059,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1890,1611620069,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1900,1611620079,3403,0.0,0.0,832,7776,0,0.0,0.0
